@timestamp,requestId,functionArn,executionTime
2024-08-08 18:25:18.966,,,
2024-08-08 18:25:18.966,7b95c480-7299-5682-8321-9baf7d57a234,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,824.563923ms
2024-08-08 18:25:18.967,,,
2024-08-08 18:25:19.099,,,
2024-08-08 18:25:19.117,,,
2024-08-08 18:25:19.118,,,
2024-08-08 18:25:19.127,,,
2024-08-08 18:25:19.127,,,
2024-08-08 18:25:19.305,,,
2024-08-08 18:25:19.305,621c6aa1-d6b6-518b-b0d6-358ed970949b,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,764.293277ms
2024-08-08 18:25:19.306,,,
2024-08-08 18:25:19.384,,,
2024-08-08 18:25:19.384,18506671-5262-54c0-ae6d-395e5daf1758,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,837.047338ms
2024-08-08 18:25:19.385,,,
2024-08-08 18:25:19.390,,,
2024-08-08 18:25:19.390,cd1e7e03-52c0-56e6-af64-212c5d00ee52,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.650794688s
2024-08-08 18:25:19.391,,,
2024-08-08 18:25:19.514,,,
2024-08-08 18:25:19.514,00ab7280-dd5c-5c38-a083-2dafd29c1415,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.62863042s
2024-08-08 18:25:19.516,,,
2024-08-08 18:25:19.531,,,
2024-08-08 18:25:19.531,b6cac543-e83d-5c6f-b2d0-9a6ce7fceb40,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.639706587s
2024-08-08 18:25:19.533,,,
2024-08-08 18:25:19.544,,,
2024-08-08 18:25:20.156,,,
2024-08-08 18:25:20.156,bea4a5d1-440c-5c45-9153-fafe4bc2fb6a,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.414181997s
2024-08-08 18:25:20.157,,,
2024-08-08 18:25:20.484,,,
2024-08-08 18:25:20.484,6e0cd418-4799-5891-a417-8b37485780bc,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.770691592s
2024-08-08 18:25:20.486,,,
2024-08-08 18:25:20.634,,,
2024-08-08 18:25:20.634,b074c4a1-afd9-5284-a56e-9b8ea017d632,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.504798189s
2024-08-08 18:25:20.634,,,
2024-08-08 18:25:20.635,,,
2024-08-08 18:25:20.740,,,
2024-08-08 18:25:20.740,45145393-50e7-5926-a81d-0cbc5f28ad90,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.635107553s
2024-08-08 18:25:20.741,,,
2024-08-08 18:25:34.562,,,
2024-08-08 18:25:34.568,,,
2024-08-08 18:25:34.781,,,
2024-08-08 18:25:34.787,,,
2024-08-08 18:25:34.818,,,
2024-08-08 18:25:34.985,,,
2024-08-08 18:25:35.255,,,
2024-08-08 18:25:35.300,,,
2024-08-08 18:25:35.300,19faede7-690e-5a06-a809-b2c866d78815,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,724.083732ms
2024-08-08 18:25:35.302,,,
2024-08-08 18:25:35.322,,,
2024-08-08 18:25:35.514,,,
2024-08-08 18:25:35.514,c3841489-5c98-5bea-b75f-4ba6535733c7,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,725.11023ms
2024-08-08 18:25:35.515,,,
2024-08-08 18:25:35.611,,,
2024-08-08 18:25:35.611,56808d0c-791d-5c41-81f2-d22376cf18f7,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,827.640759ms
2024-08-08 18:25:35.612,,,
2024-08-08 18:25:35.614,,,
2024-08-08 18:25:35.615,c0f27241-3e53-51e9-bc4a-2d6e318d23fa,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,793.802066ms
2024-08-08 18:25:35.616,,,
2024-08-08 18:25:35.637,,,
2024-08-08 18:25:35.781,,,
2024-08-08 18:25:35.922,,,
2024-08-08 18:25:36.094,,,
2024-08-08 18:25:36.094,0fbeabe5-6d8f-5a7b-88f3-f4ca62509256,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,833.8899ms
2024-08-08 18:25:36.095,,,
2024-08-08 18:25:36.181,,,
2024-08-08 18:25:36.245,,,
2024-08-08 18:25:36.245,d190eb96-5b67-51ee-a5c3-b4b954b7d2a1,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.678971456s
2024-08-08 18:25:36.246,,,
2024-08-08 18:25:36.268,,,
2024-08-08 18:25:36.456,,,
2024-08-08 18:25:36.456,157f49fe-e20f-5e3d-9bae-16d1eddf1912,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,815.976634ms
2024-08-08 18:25:36.457,,,
2024-08-08 18:25:36.592,,,
2024-08-08 18:25:36.592,338d415c-1cc1-534d-ab01-1e73131e6bf9,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,808.954418ms
2024-08-08 18:25:36.593,,,
2024-08-08 18:25:36.628,,,
2024-08-08 18:25:36.628,80e31509-96c3-5de0-9c4d-4a269913b554,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.637434024s
2024-08-08 18:25:36.629,,,
2024-08-08 18:25:36.629,7789b428-78dc-540f-9c4c-eb077703ac22,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,705.569664ms
2024-08-08 18:25:36.629,,,
2024-08-08 18:25:36.630,,,
2024-08-08 18:25:36.741,,,
2024-08-08 18:25:36.741,98831dff-c3ba-50d9-8f95-42d0cc638216,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.415843116s
2024-08-08 18:25:36.742,,,
2024-08-08 18:25:36.755,,,
2024-08-08 18:25:36.813,,,
2024-08-08 18:25:37.069,,,
2024-08-08 18:25:37.069,96fec414-6e88-53c0-a516-9b3b6147d058,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,799.39074ms
2024-08-08 18:25:37.070,,,
2024-08-08 18:25:37.098,,,
2024-08-08 18:25:37.455,,,
2024-08-08 18:25:37.455,f4bb2e6a-717c-506e-8327-71457e9c12a1,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,698.649994ms
2024-08-08 18:25:37.456,,,
2024-08-08 18:25:37.504,,,
2024-08-08 18:25:37.504,2668f386-9d74-525d-b00a-aca992948572,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,689.06307ms
2024-08-08 18:25:37.505,,,
2024-08-08 18:25:37.838,,,
2024-08-08 18:25:37.838,6047c12b-07f9-52b8-b6f5-9e0408193a95,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.650607316s
2024-08-08 18:25:37.839,,,
2024-08-08 18:25:37.906,,,
2024-08-08 18:25:37.906,87388e15-9045-5e79-a336-d13a9f953b69,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,806.773003ms
2024-08-08 18:25:37.911,,,
2024-08-08 18:25:54.110,,,
2024-08-08 18:25:54.114,,,
2024-08-08 18:25:54.211,,,
2024-08-08 18:25:54.380,,,
2024-08-08 18:25:54.405,,,
2024-08-08 18:25:54.905,,,
2024-08-08 18:25:54.905,de7f7411-ab4f-5589-a763-2b3ea4ab16c6,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,792.366895ms
2024-08-08 18:25:54.906,,,
2024-08-08 18:25:54.919,,,
2024-08-08 18:25:54.919,4c401a9d-a143-5a6f-adac-45b2aea27d40,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,706.809048ms
2024-08-08 18:25:54.920,,,
2024-08-08 18:25:54.931,,,
2024-08-08 18:25:54.942,,,
2024-08-08 18:25:54.957,,,
2024-08-08 18:25:54.957,c669fad1-3221-5f57-ad72-a5fe3dc2b321,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,841.039971ms
2024-08-08 18:25:54.959,,,
2024-08-08 18:25:54.977,,,
2024-08-08 18:25:55.109,,,
2024-08-08 18:25:55.109,ecaa0d1b-b7c9-5b49-b7d1-5234b829c3fd,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,726.556826ms
2024-08-08 18:25:55.110,,,
2024-08-08 18:25:55.497,,,
2024-08-08 18:25:55.815,,,
2024-08-08 18:25:55.815,1126f483-49d9-5ed5-99a8-abac4639c6f8,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,835.063606ms
2024-08-08 18:25:55.816,,,
2024-08-08 18:25:55.843,,,
2024-08-08 18:25:56.099,,,
2024-08-08 18:25:56.099,ec419702-f649-5306-80a3-c82df9a8e7b0,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.689931691s
2024-08-08 18:25:56.100,,,
2024-08-08 18:25:56.336,,,
2024-08-08 18:25:56.336,b7290d88-552b-5493-ad0c-52a75ac8570b,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.402347527s
2024-08-08 18:25:56.338,,,
2024-08-08 18:25:56.367,,,
2024-08-08 18:25:56.577,,,
2024-08-08 18:25:56.577,f1eb876e-34ee-59fb-b775-d8413b0f0b34,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.630960387s
2024-08-08 18:25:56.579,,,
2024-08-08 18:25:56.600,,,
2024-08-08 18:25:56.679,,,
2024-08-08 18:25:56.679,cdc211e7-51d6-5816-9530-4ec85e358b45,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,833.656213ms
2024-08-08 18:25:56.680,,,
2024-08-08 18:25:56.765,,,
2024-08-08 18:25:56.942,,,
2024-08-08 18:25:56.942,c7fadbab-139c-5cea-8ec4-84841c6fc45e,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.440383973s
2024-08-08 18:25:56.943,,,
2024-08-08 18:25:57.091,,,
2024-08-08 18:25:57.091,96209384-1705-5397-8cb9-ccab18e70687,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,723.338165ms
2024-08-08 18:25:57.092,,,
2024-08-08 18:25:57.428,,,
